"rho","SNR","n","cp1","cp2","cp3","cp4","cp5","cp6"
0.7,1.22,1000,477,475,498,476,472,474
0.7,1.22,1000,489,488,499,988,6,256
0.7,1.22,1000,495,496,968,493,486,491
0.7,1.22,1000,500,502,493,499,496,497
0.7,1.22,1000,498,496,493,510,508,494
0.7,1.22,1000,501,510,505,509,503,508
0.7,1.22,1000,497,503,502,501,479,504
0.7,1.22,1000,494,491,495,492,483,497
0.7,1.22,1000,495,498,492,505,3,4
0.7,1.22,1000,512,510,503,501,499,500
0.7,1.22,1000,501,502,17,497,499,18
0.7,1.22,1000,500,499,504,498,984,489
0.7,1.22,1000,500,496,502,497,503,6
0.7,1.22,1000,500,498,496,502,813,817
0.7,1.22,1000,496,492,497,491,513,528
0.7,1.22,1000,503,509,510,501,507,506
0.7,1.22,1000,496,493,500,499,498,501
0.7,1.22,1000,508,507,521,517,500,535
0.7,1.22,1000,500,369,368,498,469,495
0.7,1.22,1000,491,497,505,31,492,507
0.7,1.22,1000,532,487,531,482,490,494
0.7,1.22,1000,500,498,482,489,506,495
0.7,1.22,1000,506,507,511,505,494,499
0.7,1.22,1000,500,497,493,496,512,526
0.7,1.22,1000,486,477,487,491,485,482
0.7,1.22,1000,499,498,500,510,497,512
0.7,1.22,1000,500,501,495,497,493,499
0.7,1.22,1000,497,484,501,482,499,625
0.7,1.22,1000,521,514,498,492,510,519
0.7,1.22,1000,501,506,507,502,511,509
0.7,1.22,1000,500,499,497,502,529,501
0.7,1.22,1000,504,500,498,496,501,509
0.7,1.22,1000,503,508,507,498,509,494
0.7,1.22,1000,490,506,486,496,507,500
0.7,1.22,1000,497,496,504,495,494,999
0.7,1.22,1000,499,501,496,945,954,957
0.7,1.22,1000,500,497,496,504,506,607
0.7,1.22,1000,498,500,499,496,495,497
0.7,1.22,1000,498,499,501,497,506,502
0.7,1.22,1000,497,499,500,495,998,479
0.7,1.22,1000,506,501,510,498,507,499
0.7,1.22,1000,502,497,495,499,492,496
0.7,1.22,1000,501,507,490,500,485,492
0.7,1.22,1000,501,508,485,510,500,481
0.7,1.22,1000,500,504,501,499,505,502
0.7,1.22,1000,507,504,508,505,499,510
0.7,1.22,1000,498,497,499,501,494,801
0.7,1.22,1000,491,501,492,502,494,503
0.7,1.22,1000,504,503,500,501,507,505
0.7,1.22,1000,506,512,517,509,516,508
0.7,1.22,1000,501,502,497,503,504,26
0.7,1.22,1000,504,503,517,508,514,497
0.7,1.22,1000,512,502,492,511,501,493
0.7,1.22,1000,499,497,506,504,507,496
0.7,1.22,1000,500,486,491,490,505,485
0.7,1.22,1000,501,503,496,497,498,499
0.7,1.22,1000,474,491,472,496,468,478
0.7,1.22,1000,507,503,502,501,530,510
0.7,1.22,1000,503,501,495,492,498,486
0.7,1.22,1000,500,501,496,489,507,484
0.7,1.22,1000,502,505,510,500,508,501
0.7,1.22,1000,514,515,509,511,520,507
0.7,1.22,1000,522,524,498,520,514,505
0.7,1.22,1000,507,506,504,503,508,505
0.7,1.22,1000,502,487,470,482,473,489
0.7,1.22,1000,505,506,511,501,480,499
0.7,1.22,1000,491,492,493,483,494,500
0.7,1.22,1000,500,501,6,973,10,485
0.7,1.22,1000,496,497,499,500,501,508
0.7,1.22,1000,483,509,508,503,1,492
0.7,1.22,1000,500,499,504,498,505,497
0.7,1.22,1000,482,481,498,504,505,492
0.7,1.22,1000,508,502,511,504,497,517
0.7,1.22,1000,500,482,486,481,480,497
0.7,1.22,1000,500,497,496,499,493,494
0.7,1.22,1000,505,501,512,500,502,515
0.7,1.22,1000,504,505,978,963,496,510
0.7,1.22,1000,493,490,491,486,501,496
0.7,1.22,1000,498,499,507,497,495,496
0.7,1.22,1000,472,469,471,468,473,467
0.7,1.22,1000,495,505,509,511,153,504
0.7,1.22,1000,504,496,503,493,505,509
