Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
0,474.6213290691376,0.0,2.07,1000,0.15660676666002654,[499]
6,474.05421018600464,0.0,2.07,1000,0.16050760247813842,[500]
7,473.9941899776459,0.0,2.07,1000,0.1632954249860325,[495]
3,477.89625692367554,0.0,2.07,1000,0.27712785328196,[588]
2,477.19540882110596,0.3,2.07,1000,0.33443006400867836,"[513, 534, 577]"
4,477.31617426872253,0.3,2.07,1000,0.198362492057741,[499]
1,477.38401770591736,0.3,2.07,1000,0.19636419210866857,[499]
0,477.16106700897217,0.3,2.07,1000,0.2624375808497046,"[503, 520, 534]"
5,477.22165393829346,0.3,2.07,1000,0.380824968971585,"[395, 504, 720]"
6,476.81214904785156,0.3,2.07,1000,0.18965702347825283,[500]
7,476.95402812957764,0.3,2.07,1000,0.21005816590840548,[499]
3,481.4702467918396,0.3,2.07,1000,0.19147008912465602,[]
2,479.7123761177063,0.7,2.07,1000,0.3914399381092021,"[420, 460, 469, 478, 494]"
4,479.4546320438385,0.7,2.07,1000,0.28663108718599645,[499]
1,479.4713318347931,0.7,2.07,1000,0.3892226797038015,"[452, 490, 499]"
0,479.66863894462585,0.7,2.07,1000,0.3044878218958564,[499]
5,479.7539551258087,0.7,2.07,1000,0.5759351448584175,"[285, 326, 339, 457, 498]"
6,480.11807584762573,0.7,2.07,1000,0.3734031782246296,"[458, 467, 478, 499, 811]"
7,480.3230519294739,0.7,2.07,1000,0.3000795431227804,[499]
3,487.01405000686646,0.7,2.07,1000,0.43390181006789136,"[414, 424, 429, 438, 468]"
2,481.320494890213,0.0,1.22,1000,0.34334173054463585,[640]
1,481.44872975349426,0.0,1.22,1000,0.3371656317275789,"[155, 626]"
4,481.48614287376404,0.0,1.22,1000,0.3542889375945587,[385]
0,481.0224447250366,0.0,1.22,1000,0.22089861977578315,"[500, 567]"
5,481.0647392272949,0.0,1.22,1000,0.2686921943351885,[466]
6,480.70458483695984,0.0,1.22,1000,0.19407503076309418,[499]
7,480.6075451374054,0.0,1.22,1000,0.32393247281387133,"[387, 401, 887]"
3,494.02290201187134,0.0,1.22,1000,0.1974518230108977,[499]
2,486.56892681121826,0.3,1.22,1000,0.2387462240982463,[500]
4,486.60717701911926,0.3,1.22,1000,0.2804711365366543,"[339, 531, 535]"
5,486.5164170265198,0.3,1.22,1000,0.2558299789773391,[497]
1,486.6798129081726,0.3,1.22,1000,0.3013628212815681,"[526, 533, 551, 981]"
0,486.7272551059723,0.3,1.22,1000,0.22743354819628034,[498]
6,485.9031457901001,0.3,1.22,1000,0.41904162184440846,"[251, 289, 334, 451]"
7,486.25071001052856,0.3,1.22,1000,0.2539618204574769,[497]
3,500.6879360675812,0.3,1.22,1000,0.4608050108711429,"[259, 341, 437]"
2,491.29626512527466,0.7,1.22,1000,0.5863768137881963,"[192, 195, 257, 268, 990]"
4,491.2591621875763,0.7,1.22,1000,0.4260947335363643,"[460, 470, 478, 693]"
0,491.2125041484833,0.7,1.22,1000,0.45572579847123884,"[395, 437, 460, 471, 485]"
5,491.3228771686554,0.7,1.22,1000,0.32820802913074887,[499]
1,491.31314182281494,0.7,1.22,1000,0.4585523213270579,"[337, 381, 421, 459, 499]"
6,492.6559407711029,0.7,1.22,1000,0.3277419623258051,[499]
7,492.8952178955078,0.7,1.22,1000,0.3515096959604767,"[294, 297, 498]"
3,508.80315589904785,0.7,1.22,1000,0.35514838739829097,"[500, 503]"
2,497.23313999176025,0.0,0.71,1000,0.3370878920662626,"[614, 638, 652]"
0,497.1354377269745,0.0,0.71,1000,0.37640964944873895,[709]
4,497.2464601993561,0.0,0.71,1000,0.238318621752399,[499]
1,497.19496989250183,0.0,0.71,1000,0.3726470648125259,[269]
5,497.2606339454651,0.0,0.71,1000,0.3967629473961174,"[260, 920, 931]"
6,498.04990816116333,0.0,0.71,1000,0.3758932917702219,[289]
7,498.2305181026459,0.0,0.71,1000,0.26152444489035426,[467]
3,552.9101030826569,0.0,0.71,1000,0.40025801431714386,"[240, 247]"
2,511.15999579429626,0.3,0.71,1000,0.3775750512433243,"[142, 680]"
0,511.39765310287476,0.3,0.71,1000,0.4793978320983743,[60]
1,511.5220651626587,0.3,0.71,1000,0.3052770699806561,"[516, 534, 556, 574]"
4,511.7320408821106,0.3,0.71,1000,0.3905034071861974,[711]
5,511.7642149925232,0.3,0.71,1000,0.3743285945937313,"[575, 602, 619, 674, 680]"
6,513.3143649101257,0.3,0.71,1000,0.35083834946549014,"[362, 444]"
7,513.8241391181946,0.3,0.71,1000,0.2583964323484334,[499]
3,632.1147971153259,0.3,0.71,1000,0.26816332011256916,[509]
2,511.30378317832947,0.7,0.71,1000,0.38210887590468945,"[437, 462, 468, 479, 497]"
0,511.2611677646637,0.7,0.71,1000,0.4465728164634755,"[91, 593, 604, 618, 628]"
1,511.3119399547577,0.7,0.71,1000,0.3466429249397818,[504]
4,511.24077796936035,0.7,0.71,1000,0.4252226320139353,"[89, 403, 433, 477, 496]"
5,511.27832102775574,0.7,0.71,1000,0.5415856623476911,"[79, 252, 258, 265, 989]"
6,511.2359070777893,0.7,0.71,1000,0.5089583490040336,"[150, 548, 555, 565, 849]"
