Repitition,Time,rho,SNR,n,Optimality Gap,Change Points
7,453.9958939552307,0.3,3.52,1000,0.3694963697078692,[499]
2,454.0704400539398,0.3,3.52,1000,0.29300391221901073,[499]
3,455.4920036792755,0.7,3.52,1000,0.5025455962088414,"[298, 315, 410, 430, 499]"
6,455.30283069610596,0.7,3.52,1000,0.432477423819499,"[499, 774]"
4,455.59541606903076,0.7,3.52,1000,0.4868271760659014,[500]
1,455.4242329597473,0.7,3.52,1000,0.4512543702425632,[500]
5,455.45174908638,0.7,3.52,1000,0.4970299951092563,[503]
0,455.49500584602356,0.7,3.52,1000,0.4664227934590943,[499]
7,455.5488049983978,0.7,3.52,1000,0.4849627377614854,"[498, 850]"
2,455.47222995758057,0.7,3.52,1000,0.7154114983119877,"[224, 227, 573, 806]"
3,456.69857692718506,0.0,2.07,1000,0.298231301294236,[499]
6,456.79926013946533,0.0,2.07,1000,0.2801016140715989,[499]
4,456.83971214294434,0.0,2.07,1000,0.4250538779342601,[499]
1,456.9671700000763,0.0,2.07,1000,0.254626994311567,[500]
5,456.863037109375,0.0,2.07,1000,0.3171253091924814,[503]
0,456.7988579273224,0.0,2.07,1000,0.2811699978386801,[498]
7,456.7941269874573,0.0,2.07,1000,0.3767319524181904,[499]
2,456.7950608730316,0.0,2.07,1000,0.4079211165870642,[499]
3,458.42579102516174,0.3,2.07,1000,0.4376382011675991,[498]
6,458.6990520954132,0.3,2.07,1000,0.4132529922917171,"[226, 501]"
4,458.5813310146332,0.3,2.07,1000,0.4130164760236322,"[499, 582]"
1,458.7885739803314,0.3,2.07,1000,0.4325467395920498,"[447, 499]"
5,458.74820613861084,0.3,2.07,1000,0.388911228308071,[500]
0,458.66249322891235,0.3,2.07,1000,0.4147204873446226,[499]
7,458.6110861301422,0.3,2.07,1000,0.36734346799279527,[494]
2,458.64185333251953,0.3,2.07,1000,0.5749106560489796,"[440, 647, 813, 841]"
3,459.2440629005432,0.7,2.07,1000,0.7297446644825241,"[136, 698, 710, 736]"
6,459.1733078956604,0.7,2.07,1000,0.5731850829823409,"[362, 563, 567, 820]"
4,459.1938979625702,0.7,2.07,1000,0.23805136276131367,[500]
1,459.17376923561096,0.7,2.07,1000,0.6611799360912797,"[81, 602, 612, 672]"
5,459.18132615089417,0.7,2.07,1000,0.4471576319495959,"[235, 469, 496, 718, 962]"
7,459.09809494018555,0.7,2.07,1000,0.5213161144165135,"[167, 507, 515, 521, 547]"
0,459.25889897346497,0.7,2.07,1000,0.7459128045643526,"[16, 737, 753]"
2,459.21763825416565,0.7,2.07,1000,0.5195178775990612,"[131, 363, 515, 523, 536]"
3,459.42510414123535,0.0,1.22,1000,0.43568028424271865,[512]
6,459.3064069747925,0.0,1.22,1000,0.4010747365858237,"[497, 509]"
4,459.5430450439453,0.0,1.22,1000,0.41751193620222465,[499]
1,459.2746880054474,0.0,1.22,1000,0.4070880722885564,[499]
5,459.27593088150024,0.0,1.22,1000,0.367532436533144,[499]
7,459.3763210773468,0.0,1.22,1000,0.3684642381836053,"[499, 505]"
0,459.38095712661743,0.0,1.22,1000,0.41992148422417347,[499]
2,459.4163899421692,0.0,1.22,1000,0.40834886435962436,[498]
3,459.6997318267822,0.3,1.22,1000,0.49174867968547437,"[164, 405, 499, 504, 798]"
6,459.81617403030396,0.3,1.22,1000,0.47591312749295694,"[35, 68, 516, 939, 986]"
4,459.4778208732605,0.3,1.22,1000,0.5712826137307823,[828]
5,459.4742567539215,0.3,1.22,1000,0.43247744837690544,[499]
